pm10,pm25,so2,co,o3,no2,categori
40,58,25,6,4,6,SEDANG
64,90,25,10,4,4,SEDANG
67,86,26,,7,5,SEDANG
57,74,25,,8,5,SEDANG
63,85,25,9,6,6,SEDANG
61,80,25,4,5,6,SEDANG
53,67,25,7,8,6,SEDANG
49,62,25,16,8,6,SEDANG
53,76,25,24,7,8,SEDANG
81,103,25,24,6,11,TIDAK SEHAT
59,74,25,22,6,8,SEDANG
57,71,25,21,7,6,SEDANG
68,91,26,23,6,9,SEDANG
71,94,25,22,7,9,SEDANG
70,102,25,24,9,8,TIDAK SEHAT
70,86,25,21,8,9,SEDANG
46,61,25,20,7,6,SEDANG
54,67,25,18,6,2,SEDANG
37,52,25,15,8,3,SEDANG
36,52,25,18,7,4,SEDANG
70,96,26,28,5,7,SEDANG
57,59,25,22,6,6,SEDANG
51,82,34,17,33,22,SEDANG
47,68,26,18,28,9,SEDANG
24,48,25,12,29,10,BAIK
17,24,23,7,27,4,BAIK
35,68,24,15,32,12,SEDANG
59,74,25,16,38,14,SEDANG
31,52,27,11,25,8,SEDANG
40,66,25,11,28,8,SEDANG
45,77,37,12,41,18,SEDANG
33,60,28,6,46,11,SEDANG
46,69,26,14,31,13,SEDANG
30,54,24,11,37,12,SEDANG
31,54,22,9,39,12,SEDANG
,37,21,9,45,11,BAIK
32,58,24,11,38,15,SEDANG
53,78,23,18,39,26,SEDANG
43,67,22,12,32,18,SEDANG
31,57,23,11,35,16,SEDANG
49,81,22,19,31,23,SEDANG
40,69,22,10,36,13,SEDANG
55,94,20,12,115,18,TIDAK SEHAT
53,76,21,8,72,14,SEDANG
29,58,19,7,59,10,SEDANG
28,53,24,9,59,8,SEDANG
25,50,30,14,35,9,BAIK
24,41,23,17,45,14,BAIK
54,78,21,27,46,13,SEDANG
33,60,22,20,48,18,SEDANG
36,57,21,21,54,16,SEDANG
54,72,12,22,27,32,SEDANG
52,70,10,22,35,36,SEDANG
55,79,10,28,23,44,SEDANG
58,83,11,24,35,35,SEDANG
52,71,12,24,18,33,SEDANG
56,86,14,26,20,40,SEDANG
54,79,12,22,25,26,SEDANG
54,84,13,22,21,26,SEDANG
48,65,12,22,21,26,SEDANG
51,70,10,33,19,43,SEDANG
39,58,12,23,26,33,SEDANG
64,89,15,27,41,39,SEDANG
53,74,10,29,36,44,SEDANG
57,85,11,25,42,41,SEDANG
60,86,12,27,38,35,SEDANG
60,86,12,24,38,33,SEDANG
55,79,14,24,40,37,SEDANG
52,76,16,24,36,34,SEDANG
61,83,15,27,37,46,SEDANG
59,88,15,24,34,45,SEDANG
61,94,14,25,36,39,SEDANG
66,101,15,23,35,33,TIDAK SEHAT
59,87,15,24,25,37,SEDANG
56,74,15,24,33,31,SEDANG
62,89,10,33,25,51,SEDANG
57,71,10,29,22,48,SEDANG
51,70,10,27,25,41,SEDANG
56,85,13,28,24,37,SEDANG
60,89,12,32,20,39,SEDANG
51,70,13,25,15,40,SEDANG
57,74,58,7,32,11,SEDANG
,73,58,7,35,6,SEDANG
55,100,58,12,31,36,SEDANG
56,89,58,9,34,17,SEDANG
52,74,58,8,28,14,SEDANG
61,82,59,10,25,26,SEDANG
60,81,58,8,28,11,SEDANG
57,76,58,9,26,13,SEDANG
55,72,59,8,24,14,SEDANG
61,79,60,15,15,44,SEDANG
47,63,59,9,18,25,SEDANG
58,83,59,10,33,21,SEDANG
56,75,58,12,30,30,SEDANG
63,85,59,13,30,36,SEDANG
63,82,58,11,28,21,SEDANG
62,83,58,11,31,20,SEDANG
53,77,62,8,35,40,SEDANG
42,66,61,7,34,36,SEDANG
52,75,61,7,38,38,SEDANG
56,84,62,9,36,53,SEDANG
59,86,61,10,40,52,SEDANG
62,98,61,10,32,51,SEDANG
54,84,61,11,25,51,SEDANG
53,74,61,11,20,50,SEDANG
56,81,61,13,26,57,SEDANG
40,61,61,15,21,68,SEDANG
48,66,61,13,21,65,SEDANG
52,81,62,12,21,54,SEDANG
51,12,61,10,22,50,SEDANG
44,13,61,9,22,43,SEDANG
65,81,53,21,44,18,SEDANG
66,74,53,21,39,23,SEDANG
65,79,53,19,43,16,SEDANG
118,69,53,16,31,13,TIDAK SEHAT
82,76,53,21,34,19,SEDANG
162,97,53,17,39,15,TIDAK SEHAT
70,83,53,17,31,12,SEDANG
57,63,53,17,34,12,SEDANG
57,58,53,39,23,23,SEDANG
50,46,53,19,24,17,SEDANG
57,65,53,23,38,17,SEDANG
54,54,53,22,34,21,SEDANG
59,60,53,21,34,23,SEDANG
65,69,53,21,42,16,SEDANG
62,69,53,22,37,18,SEDANG
63,67,53,21,47,,SEDANG
57,60,54,18,42,25,SEDANG
60,64,54,20,52,29,SEDANG
64,69,54,20,49,25,SEDANG
61,69,54,20,54,26,SEDANG
76,75,55,22,45,23,SEDANG
68,63,54,20,35,20,SEDANG
60,54,54,19,31,18,SEDANG
68,63,54,31,34,28,SEDANG
52,53,54,27,30,27,SEDANG
56,51,53,23,33,24,SEDANG
62,62,54,22,34,20,SEDANG
90,104,54,27,31,24,TIDAK SEHAT
51,58,54,20,30,21,SEDANG
49,93,34,20,46,12,SEDANG
37,85,34,17,67,12,SEDANG
45,89,32,20,43,17,SEDANG
40,84,34,18,41,13,SEDANG
37,81,35,18,43,12,SEDANG
26,86,36,20,40,17,SEDANG
65,89,55,8,24,18,SEDANG
